States_w_space,State_w_no_space
Alabama,Alabama
Alaska,Alaska
Arizona,Arizona
Arkansas,Arkansas
California,California
Colorado,Colorado
Connecticut,Connecticut
Delaware,Delaware
Florida,Florida
Georgia,Georgia
Hawaii,Hawaii
Idaho,Idaho
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Kansas,Kansas
Kentucky,Kentucky
Louisiana,Louisiana
Maine,Maine
Maryland,Maryland
Massachusetts,Massachusetts
Michigan,Michigan
Minnesota,Minnesota
Mississippi,Mississippi
Missouri,Missouri
Montana,Montana
Nebraska,Nebraska
Nevada,Nevada
New Hampshire,New_Hampshire
New Jersey,New_Jersey
New Mexico,New_Mexico
New York,New_York
North Carolina,North_Carolina
North Dakota,North_Dakota
Ohio,Ohio
Oklahoma,Oklahoma
Oregon,Oregon
Pennsylvania,Pennsylvania
Rhode Island,Rhode_Island
South Carolina,South_Carolina
South Dakota,South_Dakota
Tennessee,Tennessee
Texas,Texas
Utah,Utah
Vermont,Vermont
Virginia,Virginia
Washington,Washington
West Virginia,West_Virginia
Wisconsin,Wisconsin
Wyoming,Wyoming
